AscII   InputChar     AscII   OutputChar
32 -                  103 - g
105 - i                108 - l
117 - u                117 - u
115 - s                102 - f
101 - e                104 - h
116 - t                114 - r
97 - a                98 - b
108 - l                106 - j
114 - r                105 - i
99 - c                121 - y
110 - n                122 - z
109 - m                120 - x
111 - o                99 - c
100 - d                100 - d
46 - .                115 - s
112 - p                111 - o
44 - ,                -127 - Å
113 - q                107 - k
118 - v                110 - n
102 - f                125 - }
103 - g                109 - m
10 - 
                126 - ~
13 -                 112 - p
98 - b                127 - 
78 - N                -128 - Ä
80 - P                124 - |
83 - S                97 - a
104 - h                116 - t
65 - A                113 - q
68 - D                123 - {
76 - L                119 - w
77 - M                101 - e
106 - j                118 - v
